,Anomaly_True,Anomaly_Prob,Anomaly_Pred,Close_True,Close_Pred,Price_Error,Surprise_Factor,Surprise_Factor_Z
2026-03-07,0,0.058717825,0,67262.91,72613.766,5350.8594,7.9551415,-0.7993258
2026-03-08,0,0.040941916,0,65971.2,71885.59,5914.3906,8.965109,-0.6700319
2026-03-09,0,0.043879274,0,68432.16,71142.78,2710.625,3.9610398,-1.3106426
2026-03-10,0,0.046422765,0,69948.63,72180.125,2231.4922,3.190187,-1.4093257
2026-03-11,0,0.058754902,0,70191.86,72932.06,2740.2031,3.9038758,-1.3179606
2026-03-12,0,0.07495349,0,70541.336,72945.945,2404.6094,3.4087949,-1.3813398
2026-03-13,0,0.084063366,0,70930.0,72927.72,1997.7188,2.8164651,-1.4571687
2026-03-14,0,0.11234561,0,71211.95,73065.11,1853.1562,2.6023107,-1.4845843
2026-03-15,0,0.09781053,0,72815.24,73412.38,597.1406,0.82007635,-1.7127424
2026-03-16,0,0.06894729,0,74884.67,74978.8,94.125,0.12569329,-1.8016359
2026-03-17,0,0.06952271,0,73909.36,77805.85,3896.4922,5.2719874,-1.1428179
2026-03-18,0,0.05902944,0,71246.54,77691.98,6445.4375,9.046668,-0.65959084
2026-03-19,0,0.07697132,0,69930.0,76714.44,6784.4375,9.701756,-0.5757279
2026-03-20,0,0.111913234,0,70510.73,75820.08,5309.3516,7.5298495,-0.85377085
2026-03-21,0,0.11692832,0,68918.12,75440.016,6521.8984,9.463257,-0.60626
2026-03-22,0,0.1493701,0,67859.0,75677.68,7818.6797,11.52195,-0.34271032
2026-03-23,0,0.1756858,0,70906.45,75564.12,4657.664,6.5687447,-0.97680956
2026-03-24,0,0.20399134,0,70556.74,75982.69,5425.9453,7.690187,-0.8332448
2026-03-25,0,0.29297918,0,71336.53,75985.66,4649.125,6.517173,-0.98341167
2026-03-26,0,0.32842812,1,68820.31,75966.75,7146.4375,10.384198,-0.48836297
2026-03-27,0,0.41432127,1,66407.28,74415.93,8008.6484,12.059895,-0.27384374
2026-03-28,0,0.4986779,1,66377.03,73964.63,7587.6016,11.431066,-0.35434514
2026-03-29,0,0.5017337,1,66010.93,73790.26,7779.328,11.784909,-0.30904678
2026-03-30,0,0.492659,1,66797.37,73523.42,6726.0547,10.069342,-0.52867025
2026-03-31,0,0.4819278,1,68284.48,72821.5,4537.0234,6.6442966,-0.9671375
2026-04-01,0,0.47452986,1,68113.92,73175.72,5061.797,7.4313693,-0.8663781
2026-04-02,0,0.46734694,1,66901.99,73397.4,6495.4062,9.708838,-0.5748211
2026-04-03,0,0.46101305,1,66964.3,73428.73,6464.4297,9.653546,-0.5818995
2026-04-04,0,0.4485045,1,67300.42,72902.4,5601.9766,8.323835,-0.7521264
2026-04-05,0,0.43334225,1,67239.0,72838.695,5599.6953,8.328047,-0.7515873
